,in_degree,out_degree,betweenness,eigenvector,is_likely_promo
ryanjapan743.bsky.social,2,2,2.651902201161699e-05,6.390927006965396e-27,False
endipendipen.bsky.social,2,2,0.0,3.938617736773354e-24,False
shadowwyrm.bsky.social,2,1,0.0,5.3507618065122584e-42,False
everyfilmnow.bsky.social,2,0,5.303804402323398e-05,1.4765934379735231e-24,False
jmill26.bsky.social,2,1,0.0,5.3507618065122584e-42,False
patman.bsky.social,2,2,1.657438875726062e-06,8.879036480891218e-43,False
ohgodwhatdoiput.bsky.social,2,2,0.0,6.374353906253434e-31,False
silverandblonde.bsky.social,2,2,0.0,6.819404281880921e-36,False
the-cigar-girl.blacksky.app,2,4,1.4088230443671527e-05,1.0381307261487478e-34,False
nsdebbi.bsky.social,2,2,8.28719437863031e-07,4.080055617176914e-43,False
deepfocusreview.bsky.social,2,1,0.0,5.3507618065122584e-42,False
packers1.bsky.social,2,1,0.0,3.261371821854742e-17,False
dailyrunway.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
anntastic.bsky.social,2,1,0.0,5.3507618065122584e-42,False
swissepfan.bsky.social,2,3,0.0,1.9873249327981077e-30,False
libbotomy.bsky.social,2,1,0.0,5.3507618065122584e-42,False
georgeswan.bsky.social,2,2,0.0,0.1683860488641658,False
andrewencer.bsky.social,2,2,0.0,2.1222251090359314e-26,False
allysunne.bsky.social,2,2,0.0,6.427018308002431e-34,False
imaginarygaychart.bsky.social,2,1,5.303804402323398e-05,1.5699127911724275e-24,False
bara.bsky.social,2,1,0.0,5.3507618065122584e-42,False
whiskeyandwry.bsky.social,2,2,0.0,3.1275596671697807e-27,False
asterionhex.monster,2,1,0.0,5.3507618065122584e-42,False
tonymcpan.bsky.social,2,2,8.28719437863031e-07,4.080055617176914e-43,False
dirediredocks.bsky.social,2,0,1.4916949881534558e-05,1.9231906835603176e-26,False
anjaciske.bsky.social,2,2,0.0,6.819404281880921e-36,False
benwritesthings.bsky.social,2,0,3.314877751452124e-05,3.599005960891811e-20,False
megadis13.dissky.com,2,2,8.28719437863031e-07,4.080055617176914e-43,False
athleticsfan314.bsky.social,2,2,0.0,2.1016229663588306e-33,False
nicobeast.bsky.social,2,3,0.0,3.157432635602258e-22,False
cbbeauty2.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
flawedfacade.blacksky.app,2,1,0.0,5.3507618065122584e-42,False
baronfrosti.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
juankamix.bsky.social,2,1,1.657438875726062e-06,3.003965178920571e-46,False
pupwintermpls.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
ostimejames.bsky.social,2,1,0.0,5.3507618065122584e-42,False
jamnpp.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
altaudge.bsky.social,2,1,0.0,5.3507618065122584e-42,False
jordanpfot.bsky.social,2,2,4.143597189315155e-06,2.641635497694183e-25,False
diasporaminnesotan.bsky.social,2,2,8.28719437863031e-07,4.080055617176914e-43,False
friendlywraith.bsky.social,2,2,3.0662619200932145e-05,3.889829035836241e-21,False
papalouie.me,2,1,0.0,5.3507618065122584e-42,False
lisasponaugle.bsky.social,2,1,0.0,8.245794029203014e-43,False
newyearnewme.bsky.social,2,2,0.0,2.9967579198910773e-31,False
dmmo.bsky.social,2,1,0.0,5.3507618065122584e-42,False
pajamapilots.bsky.social,2,3,0.0,3.724284779134882e-19,False
me-nancy.bsky.social,2,2,0.0,0.1683860488641658,False
rilaws.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
nakedgeekguy.bsky.social,2,0,1.657438875726062e-06,1.583321520011254e-53,False
sirihallandren.bsky.social,2,3,1.5745669319397587e-05,3.678482627142464e-31,False
aliceolilly.bsky.social,2,1,3.232005807665821e-05,6.446793326711983e-26,False
zyfez.bsky.social,2,1,0.0,5.3507618065122584e-42,False
lordbusinessman.bsky.social,2,3,9.820325338676916e-05,2.9242899985319653e-27,False
tintinteal.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
moreandagain.me,2,0,5.8010360650412165e-06,6.022400553909225e-36,False
sabro.bsky.social,2,1,0.0,5.3507618065122584e-42,False
bettesays.bsky.social,2,2,0.0,2.1222251090359314e-26,False
mulhertamarindo.bsky.social,2,2,0.0,6.819404281880921e-36,False
kcfennessy.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
sullydaysleeper.bsky.social,2,3,0.0,6.6399519856895775e-31,False
ernieluckman.bsky.social,2,2,8.28719437863031e-07,7.421870128426008e-41,False
peristy.bsky.social,2,2,2.3204144260164866e-05,1.2719810120976695e-21,False
sunflowerboy777.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
reclamarilia.bsky.social,2,2,0.0,6.819404281880921e-36,False
dude3000.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
dmalignus.eurosky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
workofwrestling.bsky.social,2,1,0.0,5.3507618065122584e-42,False
lolafaglana.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
pyry.lutefisk.online,2,2,0.0,2.469151012055328e-22,False
jaydasmiff.me,1,2,0.0,5.3507618065122584e-42,False
breathofthewild82.bsky.social,1,0,0.0,5.801307575073053e-61,False
therichastill.bsky.social,1,1,0.0,2.905576427565749e-19,False
javeauriel.blacksky.app,1,2,0.0,5.3507618065122584e-42,False
goodboy.bsky.social,1,1,9.94463325435637e-06,5.76979525645869e-22,False
lab-reports.bsky.social,1,1,3.4391856671315784e-05,1.408338571608974e-15,False
finnhoya.bsky.social,1,1,0.0,2.88503499452406e-43,False
repeattofa.de,1,0,0.0,5.801307575073053e-61,False
eldritchmoon.love,1,1,0.0,7.199050368084079e-50,False
hairybear65.bsky.social,1,1,0.0,3.8346295347538786e-20,False
millenniumasakura.bsky.social,1,1,0.0,7.199050368084079e-50,False
treesofgreen.bsky.social,1,1,0.0,0.0841930244320829,False
wbramos.bsky.social,1,1,0.0,7.882662829426863e-36,False
renattto.bsky.social,1,2,3.314877751452124e-06,8.399149378718739e-36,False
psjuniorfotos.bsky.social,1,1,0.0,7.882662829426863e-36,False
guabilang.bsky.social,1,1,0.0,1.1810565200925576e-23,False
twittzendo.bsky.social,1,0,0.0,2.0827980410019378e-36,False
spikesyndrome.bsky.social,1,1,9.94463325435637e-06,5.370244096990415e-34,False
eleder.frikiverse.zone.ap.brid.gy,1,1,0.0,7.199050368084079e-50,False
linda0989.bsky.social,1,2,0.0,0.12628953664812434,False
zuegex.bsky.social,1,1,0.0,3.730042180459664e-43,False
tferrer.journa.host.ap.brid.gy,1,1,0.0,7.199050368084079e-50,False
savagelure.bsky.social,1,1,0.0,3.4585499326378467e-25,False
filmvenn.bsky.social,1,1,0.0,7.199050368084079e-50,False
lcandreassen.bsky.social,1,1,0.0,7.199050368084079e-50,False
topherbrennan.bsky.social,1,1,0.0,8.325275810851527e-22,False
finalgirlboss.bsky.social,1,2,0.0,6.380755359112871e-39,False
rhea.art,1,1,0.0,5.149241239056351e-32,False
judeking.bsky.social,1,2,0.0,5.3507618065122584e-42,False
outerpanda.bsky.social,1,0,0.0,5.801307575073053e-61,False
nikkipearl.bsky.social,1,1,7.126987165622066e-05,1.3821553900622374e-15,False
roopikarisam.bsky.social,1,2,0.0,2.2190682785496817e-20,False
thegat0.bsky.social,1,2,0.0,5.3507618065122584e-42,False
cinephile25.bsky.social,1,0,0.0,5.801307575073053e-61,False
snipy.bsky.social,1,1,0.0,5.1527784177072186e-39,False
thebadness.bsky.social,1,2,0.0,7.3664244574738e-34,False
geodrewmi.bsky.social,1,2,0.0,9.813760701560759e-20,False
pablopablete81.bsky.social,1,1,0.0,1.2329796839303591e-24,False
velcroypelusa.eurosky.social,1,2,0.0,1.8494695258955385e-24,False
esthercvtbts.bsky.social,1,1,0.0,7.199050368084079e-50,False
mistaketheory.bsky.social,1,1,0.0,7.199050368084079e-50,False
fairlysilent.bsky.social,1,1,0.0,1.681024350771803e-19,False
ninas1lva.bsky.social,1,1,0.0,7.199050368084079e-50,False
palkopalko.bsky.social,1,1,7.458474940767279e-06,1.3223219262417794e-36,False
gayofthedead.bsky.social,1,1,0.0,7.199050368084079e-50,False
gaynw.bsky.social,1,1,1.657438875726062e-06,1.5833215200112538e-53,False
